country_or_area,year,Rice Type,flow,quantity(kg)
Brazil,2016,Paddy/Rough Rice,Export,"190,910,793 "
Brazil,2016,Husked Rice,Export,"7,946,353 "
Brazil,2016,Milled Rice,Export,"208,651,663 "
Brazil,2016,Broken Rice,Export,"290,432,524 "
Brazil,2015,Paddy/Rough Rice,Export,"219,422,313 "
Brazil,2015,Husked Rice,Export,"7,664,363 "
Brazil,2015,Milled Rice,Export,"443,947,643 "
Brazil,2015,Broken Rice,Export,"290,508,008 "
Brazil,2014,Paddy/Rough Rice,Export,"263,496,892 "
Brazil,2014,Husked Rice,Export,"4,631,973 "
Brazil,2014,Milled Rice,Export,"332,438,305 "
Brazil,2014,Broken Rice,Export,"329,351,271 "
Brazil,2013,Paddy/Rough Rice,Export,"280,963,060 "
Brazil,2013,Husked Rice,Export,"33,176,735 "
Brazil,2013,Milled Rice,Export,"317,857,158 "
Brazil,2013,Broken Rice,Export,"286,055,975 "
Brazil,2012,Paddy/Rough Rice,Export,"133,921,988 "
Brazil,2012,Husked Rice,Export,"66,013,597 "
Brazil,2012,Milled Rice,Export,"652,022,708 "
Brazil,2012,Broken Rice,Export,"300,747,023 "
Brazil,2011,Paddy/Rough Rice,Export,"135,711,589 "
Brazil,2011,Husked Rice,Export,"118,230,523 "
Brazil,2011,Milled Rice,Export,"758,308,640 "
Brazil,2011,Broken Rice,Export,"338,668,372 "
Brazil,2010,Paddy/Rough Rice,Export,"58,343 "
Brazil,2010,Husked Rice,Export,"15,904,678 "
Brazil,2010,Milled Rice,Export,"134,005,722 "
Brazil,2010,Broken Rice,Export,"280,517,618 "
Brazil,2009,Paddy/Rough Rice,Export,"30,040,777 "
Brazil,2009,Husked Rice,Export,"18,782,139 "
Brazil,2009,Milled Rice,Export,"348,811,268 "
Brazil,2009,Broken Rice,Export,"204,486,045 "
Brazil,2008,Paddy/Rough Rice,Export,"17,594,983 "
Brazil,2008,Husked Rice,Export,"13,955,011 "
Brazil,2008,Milled Rice,Export,"319,453,613 "
Brazil,2008,Broken Rice,Export,"167,072,897 "
Brazil,2007,Paddy/Rough Rice,Export,"125,179 "
Brazil,2007,Husked Rice,Export,"911,056 "
Brazil,2007,Milled Rice,Export,"56,784,409 "
Brazil,2007,Broken Rice,Export,"143,656,369 "
Brazil,2006,Paddy/Rough Rice,Export,"95,865 "
Brazil,2006,Husked Rice,Export,"2,663,950 "
Brazil,2006,Milled Rice,Export,"58,426,497 "
Brazil,2006,Broken Rice,Export,"229,253,707 "
China,2016,Paddy/Rough Rice,Export,"24,474,031 "
China,2016,Husked Rice,Export,"161,649,596 "
China,2016,Milled Rice,Export,"297,596,070 "
China,2016,Broken Rice,Export,"760,000 "
China,2015,Paddy/Rough Rice,Export,"18,904,972 "
China,2015,Husked Rice,Export,"156,145,967 "
China,2015,Milled Rice,Export,"110,490,966 "
China,2015,Broken Rice,Export,"400,000 "
China,2014,Paddy/Rough Rice,Export,"20,228,007 "
China,2014,Husked Rice,Export,"169,550,838 "
China,2014,Milled Rice,Export,"227,918,150 "
China,2014,Broken Rice,Export,"1,374,000 "
China,2013,Paddy/Rough Rice,Export,"17,651,061 "
China,2013,Husked Rice,Export,"214,927,970 "
China,2013,Milled Rice,Export,"245,292,909 "
China,2013,Broken Rice,Export,"532,000 "
China,2012,Paddy/Rough Rice,Export,"23,208,668 "
China,2012,Husked Rice,Export,"43,988,395 "
China,2012,Milled Rice,Export,"211,149,501 "
China,2012,Broken Rice,Export,"740,000 "
China,2011,Paddy/Rough Rice,Export,"25,398,124 "
China,2011,Husked Rice,Export,"175,032,990 "
China,2011,Milled Rice,Export,"314,649,971 "
China,2011,Broken Rice,Export,"416,000 "
China,2010,Paddy/Rough Rice,Export,"23,306,288 "
China,2010,Husked Rice,Export,"124,423,750 "
China,2010,Milled Rice,Export,"471,346,501 "
China,2010,Broken Rice,Export,"422,000 "
China,2009,Paddy/Rough Rice,Export,"23,241,985 "
China,2009,Husked Rice,Export,"137,535,552 "
China,2009,Milled Rice,Export,"621,262,328 "
China,2009,Broken Rice,Export,"1,965,600 "
China,2008,Paddy/Rough Rice,Export,"22,437,542 "
China,2008,Husked Rice,Export,"145,425,570 "
China,2008,Milled Rice,Export,"799,473,933 "
China,2008,Broken Rice,Export,"1,821,080 "
China,2007,Paddy/Rough Rice,Export,"21,424,977 "
China,2007,Husked Rice,Export,"149,711,390 "
China,2007,Milled Rice,Export,"1,152,662,482 "
China,2007,Broken Rice,Export,"1,771,790 "
China,2006,Paddy/Rough Rice,Export,"15,847,223 "
China,2006,Husked Rice,Export,"130,707,810 "
China,2006,Milled Rice,Export,"1,089,617,387 "
China,2006,Broken Rice,Export,"850,790 "
India,2016,Paddy/Rough Rice,Export,"103,803,095 "
India,2016,Husked Rice,Export,"14,484,680 "
India,2016,Milled Rice,Export,"9,059,156,125 "
India,2016,Broken Rice,Export,"729,616,875 "
India,2015,Paddy/Rough Rice,Export,"200,212,398 "
India,2015,Husked Rice,Export,"15,368,299 "
India,2015,Milled Rice,Export,"9,662,944,538 "
India,2015,Broken Rice,Export,"1,146,554,772 "
India,2014,Paddy/Rough Rice,Export,"181,609,741 "
India,2014,Husked Rice,Export,"57,220,169 "
India,2014,Milled Rice,Export,"9,991,927,609 "
India,2014,Broken Rice,Export,"931,257,835 "
India,2013,Paddy/Rough Rice,Export,"241,329,758 "
India,2013,Husked Rice,Export,"25,118,295 "
India,2013,Milled Rice,Export,"10,105,058,138 "
India,2013,Broken Rice,Export,"1,015,575,545 "
India,2012,Paddy/Rough Rice,Export,"251,173,329 "
India,2012,Husked Rice,Export,"113,416,864 "
India,2012,Milled Rice,Export,"9,329,935,224 "
India,2012,Broken Rice,Export,"875,039,173 "
India,2011,Paddy/Rough Rice,Export,"38,687,362 "
India,2011,Husked Rice,Export,"2,744,620 "
