Continent ID,Continent,Country ID,Country,Trade Value ECI,HS6 ID,Trade Value,HS2,HS4,HS6,HS2 ID,HS4 ID,Relatedness,Distance,RCA,type
af,Africa,afago,Angola,-1.2874 ,2100640,"4,442 ",Cereals,Rice,"Rice, broken",210,21006,0.0070 ,0.993004519,0.0015 ,Circle
af,Africa,afbfa,Burkina Faso,-1.6711 ,2100640,"915,518 ",Cereals,Rice,"Rice, broken",210,21006,0.0241 ,0.975934763,0.8104 ,Circle
af,Africa,afbwa,Botswana,-0.5776 ,2100640,"436,556 ",Cereals,Rice,"Rice, broken",210,21006,0.0382 ,0.961753787,0.6878 ,Circle
af,Africa,afciv,Cote d'Ivoire,-1.1730 ,2100640,"741,317 ",Cereals,Rice,"Rice, broken",210,21006,0.0444 ,0.955589604,0.5072 ,Circle
af,Africa,afcmr,Cameroon,-1.3717 ,2100640,"14,969 ",Cereals,Rice,"Rice, broken",210,21006,0.0346 ,0.965428584,0.0292 ,Circle
af,Africa,afcod,Democratic Republic of the Congo,-1.4636 ,2100640,"1,431 ",Cereals,Rice,"Rice, broken",210,21006,0.0180 ,0.981963909,0.0005 ,Circle
af,Africa,afcog,Republic of the Congo,-1.0900 ,2100640,"526,093 ",Cereals,Rice,"Rice, broken",210,21006,0.0257 ,0.974268862,0.4885 ,Circle
af,Africa,afdza,Algeria,-1.1916 ,2100640,"99,354 ",Cereals,Rice,"Rice, broken",210,21006,0.0136 ,0.986419314,0.0380 ,Circle
af,Africa,afegy,Egypt,-0.1664 ,2100640,"278,921 ",Cereals,Rice,"Rice, broken",210,21006,0.2718 ,0.728190864,0.0599 ,Circle
af,Africa,afgha,Ghana,-1.3193 ,2100640,"5,124 ",Cereals,Rice,"Rice, broken",210,21006,0.0472 ,0.952831204,0.0028 ,Circle
af,Africa,afken,Kenya,-0.4720 ,2100640,"180,277 ",Cereals,Rice,"Rice, broken",210,21006,0.2087 ,0.791265382,0.1993 ,Circle
af,Africa,afmar,Morocco,-0.5040 ,2100640,"2,768 ",Cereals,Rice,"Rice, broken",210,21006,0.1833 ,0.816726449,0.0006 ,Circle
af,Africa,afmdg,Madagascar,-1.2426 ,2100640,"2,008 ",Cereals,Rice,"Rice, broken",210,21006,0.1641 ,0.835915236,0.0059 ,Circle
af,Africa,afmoz,Mozambique,-1.2425 ,2100640,"6,798,426 ",Cereals,Rice,"Rice, broken",210,21006,0.0892 ,0.910751767,9.1340 ,Circle
af,Africa,afmrt,Mauritania,-1.2958 ,2100640,"650,027 ",Cereals,Rice,"Rice, broken",210,21006,0.0341 ,0.965910382,1.2674 ,Circle
af,Africa,afnam,Namibia,-0.6633 ,2100640,"1,328 ",Cereals,Rice,"Rice, broken",210,21006,0.0707 ,0.929255675,0.0015 ,Circle
af,Africa,afnga,Nigeria,-1.6484 ,2100640,"4,184 ",Cereals,Rice,"Rice, broken",210,21006,0.0412 ,0.958784629,0.0007 ,Circle
af,Africa,afsdn,Sudan,-1.2878 ,2100640,35 ,Cereals,Rice,"Rice, broken",210,21006,0.0313 ,0.968729387,0.0001 ,Circle
af,Africa,afsen,Senegal,-0.7036 ,2100640,"19,215,662 ",Cereals,Rice,"Rice, broken",210,21006,0.1412 ,0.85881746,34.1918 ,Circle
af,Africa,aftgo,Togo,-0.8676 ,2100640,"163,745 ",Cereals,Rice,"Rice, broken",210,21006,0.0999 ,0.900081743,0.7135 ,Circle
af,Africa,aftza,Tanzania,-0.6537 ,2100640,"3,640,534 ",Cereals,Rice,"Rice, broken",210,21006,0.1200 ,0.879980231,4.4413 ,Circle
af,Africa,afuga,Uganda,-0.9699 ,2100640,"7,422,312 ",Cereals,Rice,"Rice, broken",210,21006,0.1292 ,0.870774951,9.1168 ,Circle
af,Africa,afzaf,South Africa,0.0858 ,2100640,"18,506,260 ",Cereals,Rice,"Rice, broken",210,21006,0.2449 ,0.755054051,1.3135 ,Circle
af,Africa,afzmb,Zambia,-0.7071 ,2100640,"140,718 ",Cereals,Rice,"Rice, broken",210,21006,0.0681 ,0.931931276,0.0926 ,Circle
as,Asia,asare,United Arab Emirates,0.1573 ,2100640,"4,219,937 ",Cereals,Rice,"Rice, broken",210,21006,0.1576 ,0.842354066,0.1411 ,Circle
as,Asia,asarm,Armenia,-0.3725 ,2100640,50 ,Cereals,Rice,"Rice, broken",210,21006,0.0822 ,0.917763026,0.0001 ,Circle
as,Asia,asbgd,Bangladesh,-1.1915 ,2100640,"25,769 ",Cereals,Rice,"Rice, broken",210,21006,0.1518 ,0.848169295,0.0045 ,Circle
as,Asia,aschn,China,0.9647 ,2100640,"28,459,375 ",Cereals,Rice,"Rice, broken",210,21006,0.4329 ,0.567145081,0.0775 ,Circle
as,Asia,ashkg,Hong Kong,1.1077 ,2100640,"511,812 ",Cereals,Rice,"Rice, broken",210,21006,0.1964 ,0.803576003,0.0292 ,Circle
as,Asia,asidn,Indonesia,-0.0932 ,2100640,"202,481 ",Cereals,Rice,"Rice, broken",210,21006,0.2718 ,0.72818394,0.0082 ,Circle
as,Asia,asind,India,0.5563 ,2100640,"361,219,486 ",Cereals,Rice,"Rice, broken",210,21006,0.4646 ,0.535435613,9.1772 ,Circle
as,Asia,asirn,Iran,-0.0949 ,2100640,"8,517 ",Cereals,Rice,"Rice, broken",210,21006,0.1250 ,0.874986055,0.0057 ,Circle
